trade_id,strategy,regime,ticker,date,side,entry_price,exit_price,entry_time,exit_time,pnl_pct,pnl_dollars,gross_pnl_pct,total_costs,exit_reason,bars_held
1,Momentum,TRENDING,NVDA,2026-01-20,long,181.11,181.6,2026-01-20T10:11:00+00:00,2026-01-20T10:49:00+00:00,0.24,42.85,0.27,0,take_profit,0
2,Momentum,TRENDING,NVDA,2026-01-20,long,181.82,181.65,2026-01-20T11:04:00+00:00,2026-01-20T11:09:00+00:00,-0.13,-23.15,-0.09,0,stop_loss,0
3,Momentum,TRENDING,NVDA,2026-01-20,long,182.38,182.02,2026-01-20T12:02:00+00:00,2026-01-20T13:05:00+00:00,-0.23,-42.16,-0.2,0,stop_loss,0
4,Momentum,TRENDING,NVDA,2026-01-20,short,181.03,181.24,2026-01-20T14:26:00+00:00,2026-01-20T14:28:00+00:00,-0.15,-27.14,-0.12,0,stop_loss,0
5,Momentum,TRENDING,NVDA,2026-01-20,long,181.91,181.72,2026-01-20T14:29:00+00:00,2026-01-20T14:30:00+00:00,-0.14,-25.16,-0.1,0,stop_loss,0
6,Momentum,TRENDING,NVDA,2026-01-20,short,181.0,180.47,2026-01-20T15:47:00+00:00,2026-01-20T15:55:00+00:00,0.26,46.37,0.29,0,end_of_day,0
7,Momentum,TRENDING,NVDA,2026-01-21,long,179.24,180.03,2026-01-21T10:04:00+00:00,2026-01-21T11:31:00+00:00,0.41,72.89,0.44,0,take_profit,0
8,Momentum,TRENDING,NVDA,2026-01-21,short,178.68,178.2,2026-01-21T11:55:00+00:00,2026-01-21T12:01:00+00:00,0.23,41.92,0.27,0,take_profit,0
9,Momentum,TRENDING,NVDA,2026-01-21,long,178.4,178.13,2026-01-21T12:20:00+00:00,2026-01-21T12:30:00+00:00,-0.19,-33.08,-0.15,0,stop_loss,0
10,Momentum,TRENDING,NVDA,2026-01-21,short,178.13,178.4,2026-01-21T12:30:00+00:00,2026-01-21T12:45:00+00:00,-0.19,-33.08,-0.15,0,stop_loss,0
11,Momentum,TRENDING,NVDA,2026-01-21,long,179.67,179.08,2026-01-21T14:10:00+00:00,2026-01-21T14:29:00+00:00,-0.36,-65.1,-0.33,0,stop_loss,0
